iter	RMSE
218	4.774406138
219	4.771071968
220	4.764244452
221	4.760615422
222	4.757018683
223	4.750876216
224	4.748172635
225	4.744397832
226	4.74101602
227	4.739813466
228	4.735423918
229	4.732539459
230	4.731380378
231	4.730229471
232	4.727793722
233	4.723634392
234	4.721529858
235	4.714015017
236	4.706230997
237	4.699770972
238	4.696845369
239	4.694045427
240	4.693249314
241	4.688799121
242	4.684311401
243	4.683538348
244	4.680623588
245	4.673400832
246	4.665249424
247	4.661719788
248	4.658930676
249	4.656104496
250	4.655169606
251	4.649039584
252	4.644841171
253	4.64406307
254	4.638606055
255	4.635804168
256	4.632947589
257	4.632225822
258	4.629635069
259	4.62306313
260	4.621728379
261	4.613923175
262	4.61207119
263	4.609759124
264	4.603830741
265	4.600832312
266	4.599284104
267	4.594309251
268	4.591740905
269	4.588876186
270	4.587328706
271	4.586707594
272	4.584142571
273	4.581936905
274	4.579821101
275	4.57831457
276	4.57502515
277	4.568053707
278	4.563063135
279	4.560555875
280	4.556986753
281	4.554965291
282	4.551208194
283	4.549113761
284	4.546911681
285	4.546280013
286	4.545675256
287	4.542929887
288	4.536752001
289	4.534369342
290	4.532884826
291	4.532203678
292	4.530368159
293	4.525435804
294	4.519865865
295	4.514557373
296	4.50954903
297	4.504605173
298	4.502855102
299	4.500766522
300	4.495199012
301	4.492471255
302	4.489411522
303	4.483069528
304	4.479247119
305	4.476270436
306	4.471184355
307	4.468350061
308	4.465834515
309	4.464495743
310	4.45934614
311	4.457959651
312	4.456961988
313	4.455721282
314	4.453341644
315	4.448246602
316	4.447628993
317	4.446979346
318	4.44074969
319	4.438223617
320	4.432732538
321	4.432252321
322	4.426839445
323	4.424382449
324	4.422432221
325	4.417863411
326	4.415225234
327	4.413695407
328	4.410412792
329	4.405789507
330	4.404044589
331	4.402365932
332	4.3967774
333	4.39174161
334	4.385991061
335	4.382970214
336	4.381932816
337	4.380528628
338	4.378733068
339	4.373391091
340	4.371766944
341	4.366710081
342	4.364050727
343	4.357985163
344	4.355956916
345	4.35015535
346	4.34734334
347	4.346847113
348	4.343860823
349	4.339984759
350	4.339081425
351	4.332436521
352	4.330821879
353	4.327002618
354	4.325503207
355	4.324074196
356	4.31939075
357	4.317234296
358	4.315387193
359	4.311162542
360	4.309258983
361	4.306879468
362	4.304453695
363	4.299340558
364	4.293665232
365	4.291097683
366	4.289605388
367	4.287390965
368	4.282680933
369	4.280986862
370	4.279642395
371	4.275184676
372	4.270135449
373	4.2653421
374	4.261224134
375	4.257422104
376	4.256053684
377	4.253970179
378	4.252676032
379	4.250607744
380	4.248290803
381	4.24638727
382	4.242737654
383	4.236092874
384	4.233070141
385	4.230774133
386	4.22806826
387	4.223745168
388	4.218659877
389	4.217077598
390	4.213273714
391	4.207473554
392	4.206806699
393	4.202713853
394	4.201282094
395	4.198682163
396	4.196735038
397	4.195261658
398	4.19104858
399	4.185865439
400	4.184612786
401	4.181275681
402	4.177154907
403	4.176175624
404	4.174341392
405	4.169472884
406	4.163802566
407	4.160945912
408	4.156449651
409	4.151928811
410	4.150516849
411	4.149254245
412	4.146593078
413	4.144707535
414	4.14423022
415	4.142274573
416	4.139403449
417	4.137857723
418	4.133566263
419	4.131828658
420	4.127352393
421	4.124956714
422	4.119220834
423	4.115768981
424	4.11390117
425	4.113433974
426	4.109203861
427	4.107945232
428	4.106717969
429	4.105171702
430	4.103247561
431	4.102157956
432	4.097326185
433	4.09330654
434	4.087850825
435	4.082053019
436	4.078604827
437	4.077363901
438	4.073245106
439	4.070524302
440	4.067035485
441	4.065171269
442	4.061718296
443	4.058099826
444	4.053045082
445	4.050792386
446	4.048832321
447	4.044964091
448	4.042841737
449	4.039670047
450	4.038267716
451	4.037457377
452	4.036346313
453	4.033362171
454	4.029783949
455	4.025016455
456	4.022334537
457	4.020771437
458	4.019767743
459	4.016858004
460	4.01232374
461	4.009685199
462	4.008684932
463	4.007221708
464	4.002021767
465	4.000852979
466	4.000540533
467	4.000217563
468	3.999108543
469	3.996560418
470	3.995270145
471	3.994603409
472	3.992801657
473	3.991737967
474	3.987598928
475	3.983597797
476	3.980231445
477	3.978986538
478	3.974797537
479	3.971422758
480	3.970806074
481	3.96512064
482	3.960825246
483	3.960105304
484	3.957798663
485	3.956498889
486	3.952665467
487	3.952333457
488	3.94735817
489	3.943327486
490	3.940173543
491	3.937521169
492	3.935330088
493	3.933750598
494	3.932894926
495	3.92903649
496	3.925537917
497	3.923839104
498	3.919781954
499	3.91557771
500	3.912952434
501	3.908935566
502	3.904256939
503	3.900688416
504	3.896125019
505	3.895110803
506	3.891981665
507	3.891181866
508	3.88794788
509	3.884861073
510	3.881549936
511	3.879451877
512	3.878361631
513	3.877153068
514	3.872787032
515	3.867932488
516	3.865694134
517	3.860519424
518	3.859979252
519	3.858967548
520	3.855871157
521	3.851246864
522	3.848856666
523	3.847163006
524	3.84273786
525	3.839834292
526	3.835726735
527	3.833485255
528	3.829041878
529	3.825717858
530	3.824704725
531	3.819624752
532	3.815423121
533	3.812417724
534	3.81177159
535	3.811316292
536	3.80684495
537	3.804788363
538	3.802513724
539	3.801178969
540	3.800777351
541	3.798981346
542	3.795662104
543	3.795416482
544	3.792692121
545	3.791625251
546	3.791125788
547	3.788335158
548	3.787237052
549	3.782805059
550	3.779830161
551	3.776521311
552	3.774977731
553	3.773444656
554	3.770731552
555	3.766744183
556	3.763571866
557	3.762665774
558	3.759509685
559	3.758590996
560	3.75452482
561	3.751385927
562	3.749852362
563	3.745495071
564	3.745200632
565	3.741391291
566	3.740613314
567	3.739096032
568	3.735801737
569	3.735240709
570	3.732711885
571	3.731781572
572	3.727847361
573	3.723599765
574	3.722560764
575	3.717656637
576	3.71330074
577	3.710502377
578	3.709506689
579	3.708484633
580	3.707853158
581	3.707603995
582	3.704623487
583	3.701043894
584	3.699543128
585	3.696607433
586	3.693365909
587	3.692973706
588	3.691051292
589	3.687682326
590	3.686567533
591	3.684554039
592	3.683424855
593	3.681134796
594	3.680372838
595	3.677721929
596	3.677281165
597	3.675708005
598	3.674711796
599	3.67344159
600	3.670405484
601	3.668260363
602	3.66337372
603	3.661092147
604	3.660310817
605	3.657196902
606	3.656147366
607	3.654887471
608	3.653418657
609	3.649615401
610	3.646117186
611	3.64294569
612	3.640087084
613	3.637612937
614	3.635897164
615	3.635569736
616	3.633224195
617	3.631663207
618	3.629112807
619	3.626377171
620	3.62512066
621	3.62322478
622	3.621552235
623	3.619143677
624	3.618935845
625	3.61576014
626	3.614397304
627	3.61407075
628	3.61146162
629	3.608950074
630	3.604427863
631	3.600948937
632	3.598534918
633	3.594320242
634	3.592875979
635	3.589384234
636	3.58630139
637	3.58513269
638	3.58389653
639	3.582731006
640	3.582197231
641	3.578088958
642	3.574357544
643	3.571528256
644	3.570728395
645	3.569248981
646	3.568929174
647	3.567575072
648	3.564894818
649	3.564086298
650	3.561711719
651	3.557933115
652	3.554937279
653	3.552996248
654	3.548419764
655	3.54527726
656	3.544402388
657	3.542408137
658	3.540321224
659	3.539635847
660	3.538558933
661	3.535951654
662	3.535607375
663	3.532459939
664	3.529649802
665	3.526904457
666	3.524365512
667	3.524092451
668	3.52112141
669	3.518879351
670	3.515336003
671	3.514690754
672	3.51073157
673	3.507389568
674	3.505721464
675	3.504269873
676	3.501634608
677	3.501501794
678	3.500145443
679	3.498475947
680	3.497698422
681	3.495160446
682	3.492401294
683	3.490291456
684	3.488957786
685	3.485755866
686	3.484900973
687	3.483686372
688	3.481971562
689	3.481732607
690	3.478781761
691	3.478188375
692	3.475524589
693	3.471079162
694	3.468015187
695	3.466524474
696	3.465167773
697	3.462225696
698	3.460771961
699	3.458871043
700	3.455373229
701	3.453557421
702	3.453337059
703	3.453114673
704	3.45101385
705	3.449279219
706	3.447202914
707	3.444472511
708	3.443196536
709	3.442411073
710	3.44043549
711	3.439367733
712	3.436967426
713	3.435068732
714	3.434315907
715	3.431967592
716	3.429754804
717	3.426863753
718	3.424119556
719	3.423904227
720	3.420388736
721	3.417610879
722	3.414929935
723	3.413760593
724	3.413546482
725	3.412074666
726	3.41001172
727	3.409031502
728	3.407094884
729	3.40571844
730	3.402706991
731	3.400802814
732	3.398848082
733	3.397541553
734	3.393347307
735	3.390985256
736	3.390791572
737	3.388364575
738	3.385312641
739	3.383704501
740	3.382593828
741	3.380610539
742	3.37991077
743	3.376937503
744	3.374747767
745	3.372175966
746	3.369915437
747	3.369212138
748	3.366597011
749	3.366106275
750	3.363523603
751	3.363359091
752	3.36098197
753	3.357866429
754	3.357186178
755	3.354297812
756	3.351010768
757	3.349386714
758	3.34871319
759	3.345561806
760	3.343250676
761	3.342581128
762	3.341581138
763	3.339745763
764	3.337434248
765	3.336387443
766	3.33530186
767	3.334780918
768	3.33442966
769	3.332529311
770	3.331010286
771	3.330833343
772	3.330144436
773	3.327147403
774	3.326156827
775	3.325590433
776	3.324088673
777	3.321049549
778	3.320915891
779	3.320759518
780	3.320593678
781	3.317227076
782	3.316186396
783	3.313858213
784	3.311190626
785	3.310719247
786	3.309532364
787	3.307674568
788	3.303470641
789	3.301805856
790	3.300133272
791	3.299213641
792	3.29683066
793	3.29595625
794	3.294274925
795	3.291560035
796	3.288825016
797	3.286524721
798	3.283696807
799	3.280623254
800	3.278676123
801	3.277838557
802	3.274654395
803	3.272172983
804	3.269234875
805	3.268486713
806	3.267904749
807	3.266791186
808	3.264886785
809	3.264006091
810	3.263003006
811	3.260811433
812	3.257982651
813	3.255858692
814	3.253115637
815	3.250095438
816	3.248797756
817	3.245505287
818	3.242630443
819	3.242188721
820	3.24086834
821	3.240120849
822	3.238992116
823	3.2384426
824	3.238006602
825	3.236049375
826	3.232495828
827	3.230558165
828	3.229190877
829	3.2264783
830	3.224227534
831	3.221683861
832	3.219338269
833	3.218805478
834	3.218679523
835	3.216224475
836	3.214797613
837	3.213506545
838	3.211178114
839	3.210764031
840	3.208880286
841	3.207601218
842	3.205663917
843	3.203808219
844	3.202752748
845	3.199882034
846	3.197503612
847	3.197414418
848	3.196126514
849	3.192839812
850	3.191612363
851	3.191543778
852	3.188897286
853	3.186497557
854	3.18557506
855	3.184027209
856	3.180557167
857	3.179464165
858	3.179303078
859	3.178052358
860	3.175929989
861	3.175715708
862	3.175014004
863	3.172101491
864	3.170229861
865	3.169565115
866	3.16705863
867	3.16604591
868	3.164064173
869	3.161282634
870	3.16116035
871	3.159676825
872	3.157209063
873	3.154324404
874	3.153599537
875	3.151464976
876	3.151307595
877	3.150175798
878	3.149579524
879	3.1466744
880	3.144770968
881	3.142271853
882	3.1405748
883	3.137258774
884	3.136081003
885	3.134951922
886	3.13294832
887	3.132145398
888	3.130862401
889	3.129833347
890	3.127908215
891	3.127520715
892	3.125232404
893	3.124257813
894	3.123904064
895	3.122279288
896	3.121483308
897	3.119004845
898	3.117766477
899	3.115818795
900	3.113684844
901	3.111744756
902	3.109983623
903	3.108079131
904	3.106845126
905	3.105222433
906	3.104012914
907	3.103272797
908	3.099818357
909	3.099323608
910	3.096997994
911	3.096576893
912	3.095658231
913	3.093187243
914	3.091669929
915	3.090191629
916	3.090055566
917	3.08814148
918	3.08659673
919	3.08430588
920	3.082784653
921	3.081131764
922	3.078861025
923	3.078613967
924	3.076800606
925	3.076025151
926	3.074381026
927	3.072884009
928	3.072723088
929	3.072576154
930	3.069277364
931	3.069151325
932	3.067730534
933	3.067167857
934	3.064885799
935	3.063911019
936	3.060734416
937	3.059075302
938	3.056275342
939	3.055952313
940	3.055843653
941	3.05493019
942	3.054143834
943	3.053020713
944	3.051159201
945	3.049263368
946	3.048117208
947	3.047884287
948	3.047755524
949	3.04547981
950	3.043708665
951	3.041573318
952	3.039076653
953	3.037296998
954	3.035337782
955	3.033571607
956	3.033187539
957	3.033079775
958	3.032995066
959	3.030997041
960	3.029950212
961	3.029652358
962	3.027299319
963	3.024653222
964	3.023751129
965	3.023654914
966	3.021820155
967	3.019545166
968	3.019203054
969	3.01869006
970	3.018608844
971	3.017159198
972	3.016486864
973	3.016258374
974	3.01414218
975	3.011781504
976	3.01047362
977	3.009923313
978	3.009268686
979	3.009017949
980	3.008064816
981	3.005878859
982	3.003605067
983	3.000897759
984	3.000283767
985	2.999081083
986	2.998090742
987	2.997826537
988	2.996994998
989	2.995621866
990	2.995497107
991	2.995034916
992	2.994427747
993	2.99258907
994	2.992527169
995	2.990157473
996	2.989404113
997	2.988666839
998	2.987442613
999	2.985386579
